,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,branch_length
1792,3.857142857142857,2.0,2.0,5865098.285714285,62.65840021364285,0.5111698847501429,7,201.42857142857142,0.00144018
1793,3.875,1.875,1.875,5805621.625,62.93494486669999,0.5122063450758749,8,202.125,0.0100698
1794,3.888888888888889,1.7777777777777777,1.7777777777777777,5812510.444444444,63.08607361332221,0.511848884785,9,203.22222222222223,0.055346
1797,6.0,3.5,3.5,9079633.0,62.02027615395001,0.48749054271500003,2,176.5,0.0237108
1805,6.0,2.5,2.5,7242441.0,62.867760545850004,0.47790951502949996,2,179.5,0.00451813
1806,6.0,2.3333333333333335,2.3333333333333335,7176159.0,62.98145312053333,0.47834967731100003,3,179.33333333333334,0.0143529
1807,6.25,2.75,2.75,7353333.75,62.80598547635,0.47527966936525,4,176.5,0.0115984
1809,6.2,2.6,2.6,7323900.4,62.82248438722,0.475708293736,5,175.8,0.0167054
1810,6.166666666666667,2.6666666666666665,2.6666666666666665,7725106.666666667,62.758653201916665,0.4842486697761666,6,181.16666666666666,0.00454749
1811,6.142857142857143,2.7142857142857144,2.7142857142857144,7795042.571428572,62.504908978742854,0.48646025310485713,7,182.14285714285714,0.00340582
1812,6.125,2.875,2.875,7953035.125,62.318679509800006,0.487038563305125,8,181.75,0.0174971
1813,6.1,3.0,3.0,8178354.7,62.25899883863,0.48712895918710003,10,180.7,0.0296497
1817,5.0,3.0,3.0,7237447.5,66.81413349255,0.5192655303984999,2,171.5,0.00897258
1825,4.0,2.0,2.0,7211509.0,68.17651728435,0.5763209853895,2,164.0,1.13079e-06
1828,3.5,2.0,2.0,5732879.0,68.5655623248,0.5882926962249999,2,160.0,0.00158591
1830,3.6666666666666665,2.0,2.0,6185002.333333333,68.4772762108,0.5847577726869999,3,160.66666666666666,1.13079e-06
1831,3.8,2.0,2.0,6595605.0,68.35697264022,0.581383057768,5,162.0,1.13079e-06
1832,3.8333333333333335,2.0,2.0,6684639.666666667,68.32762374643333,0.5800686064348334,6,162.83333333333334,0.00158523
1834,3.857142857142857,2.0,2.0,6765055.0,68.29608522695715,0.5803453200422857,7,164.28571428571428,1.13079e-06
1835,3.875,2.0,2.0,6847932.125,68.24684816435,0.5791339823081251,8,155.25,0.00158362
1836,3.888888888888889,2.0,2.0,6902290.444444444,68.22281437353334,0.5778381219913334,9,155.66666666666666,0.00158641
1837,3.9,2.0,2.0,6916101.7,68.23282301156,0.5773839354746001,10,157.8,0.0194796
1838,3.909090909090909,2.0,2.0,6899308.7272727275,68.17450836988182,0.5732168945214546,11,159.0909090909091,0.0148859
1839,4.076923076923077,2.1538461538461537,2.1538461538461537,6951330.076923077,67.96521992721537,0.5649166846563847,13,161.0,0.00546676
1842,4.0,2.5,2.5,6944286.5,67.21871218704999,0.5524040105395001,2,160.0,1.13079e-06
1846,6.0,3.0,3.0,7625252.5,66.7304655428,0.5481189662554999,2,177.5,1.13079e-06
1851,6.0,3.5,3.5,7885337.5,66.66661197475,0.5340791057500001,2,212.0,0.00156361
1852,6.0,3.3333333333333335,3.3333333333333335,7972596.333333333,66.76377755926667,0.533526064836,3,209.33333333333334,0.0015671
1854,5.0,3.0,3.0,7596277.5,66.74043474065,0.5322027294285,4,205.5,0.00156298
1855,5.2,3.0,3.0,7812277.4,66.60632943226,0.5333748257474,5,207.2,1.13079e-06
1857,5.333333333333333,3.0,3.0,7928439.333333333,66.5400019123,0.5341949779921666,6,198.33333333333334,1.13079e-06
1860,5.0,5.5,5.5,8975879.0,63.839550927800005,0.5293480539105,2,165.0,0.00631538
1863,5.0,2.5,2.5,7988794.5,67.71073100045,0.533399750963,2,161.0,0.00473897
1864,5.0,4.0,4.0,8482336.75,65.775140964125,0.53137390243675,4,163.0,1.13079e-06
1866,5.0,4.4,4.4,8242796.6,65.48878918726,0.5303153839678,5,159.2,0.0142476
1869,4.0,2.0,2.0,7224347.5,67.016109177,0.543005024605,2,166.5,0.014545
1870,4.714285714285714,3.7142857142857144,3.7142857142857144,7951811.142857143,65.92516632718572,0.5339409955784286,7,161.28571428571428,0.0167853
1872,4.875,3.75,3.75,7953003.0,65.8494446585875,0.53457633082075,8,162.875,0.00584398
1873,5.071428571428571,3.4285714285714284,3.4285714285714284,7942475.714285715,66.14539776732143,0.5344128938942142,14,178.07142857142858,0.00155686
1874,5.1875,3.375,3.375,7902822.8125,66.21853123925624,0.5361261529393749,16,178.0,0.00315501
1880,5.0,3.5,3.5,7145338.5,65.78751807635001,0.5243719668855,2,173.5,0.0015577
1881,5.333333333333333,3.3333333333333335,3.3333333333333335,7445309.0,66.16017093053334,0.526895484625,3,174.66666666666666,0.00795647
1882,5.25,3.0,3.0,7189901.75,64.697219706075,0.52497126790075,4,185.25,0.00306594
1883,5.4,3.0,3.0,7074405.6,65.06301262174,0.5256890537251999,5,180.0,0.00312525
1885,5.5,3.8333333333333335,3.8333333333333335,7293849.666666667,64.68378338321666,0.5246534240194999,6,180.66666666666666,1.13079e-06
1887,5.571428571428571,3.857142857142857,3.857142857142857,7241942.0,64.73882160737142,0.5249311862892857,7,179.85714285714286,0.00796863
1888,5.304347826086956,3.5217391304347827,3.5217391304347827,7701685.173913044,65.76818482955215,0.5327189891763043,23,178.56521739130434,0.00152931
1890,5.333333333333333,3.5416666666666665,3.5416666666666665,7699220.625,65.74133997099165,0.5326516793623749,24,178.5,0.00111131
1891,5.36,3.56,3.56,7692394.48,65.77086245701598,0.5327282812754399,25,179.0,0.0219665
1892,5.2592592592592595,3.4814814814814814,3.4814814814814814,7636979.074074074,65.87811058516664,0.5341857427024074,27,177.59259259259258,0.0214619
1894,5.214285714285714,3.4285714285714284,3.4285714285714284,7604371.678571428,65.94248470484283,0.5345033842745,28,176.89285714285714,0.00630457
